"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"31/03/2024","1.129.259.008","1.113.600.000","1.129.260.032","1.113.600.000","0,02K","1,41%"
"30/03/2024","1.113.600.000","1.117.326.976","1.120.000.000","1.113.500.032","0,02K","-0,28%"
"29/03/2024","1.116.734.976","1.130.334.976","1.130.855.040","1.105.056.000","0,03K","-1,20%"
"28/03/2024","1.130.334.976","1.109.442.944","1.135.718.016","1.100.519.936","0,04K","1,83%"
"27/03/2024","1.109.984.000","1.114.294.016","1.130.000.000","1.091.016.960","0,07K","-0,38%"
"26/03/2024","1.114.180.992","1.100.027.008","1.130.000.000","1.098.999.040","0,07K","1,29%"
"25/03/2024","1.100.024.064","1.061.241.984","1.120.000.000","1.050.000.000","0,09K","3,76%"
"24/03/2024","1.060.166.976","1.018.291.008","1.065.000.000","1.014.700.032","0,03K","4,11%"
"23/03/2024","1.018.289.984","1.017.708.032","1.044.307.008","1.004.571.008","0,03K","0,49%"
"22/03/2024","1.013.313.024","1.036.755.968","1.055.500.032","996.720.000","0,06K","-2,29%"
"21/03/2024","1.037.094.976","1.072.502.016","1.073.393.984","1.022.854.976","0,07K","-3,30%"
"20/03/2024","1.072.502.016","978.046.016","1.073.446.016","960.003.008","0,11K","9,66%"
"19/03/2024","978.046.016","1.071.032.000","1.072.998.976","952.000.000","0,21K","-8,68%"
"18/03/2024","1.071.032.000","1.080.994.048","1.084.999.936","1.052.920.000","0,05K","-0,92%"
"17/03/2024","1.080.996.992","1.031.824.000","1.084.268.032","1.018.800.000","0,07K","4,85%"
"16/03/2024","1.031.000.000","1.093.145.984","1.103.000.064","1.022.888.000","0,08K","-5,84%"
"15/03/2024","1.094.982.016","1.127.996.032","1.136.546.048","1.040.000.000","0,17K","-2,93%"
"14/03/2024","1.127.987.968","1.144.797.952","1.149.990.016","1.088.999.936","0,10K","-1,47%"
"13/03/2024","1.144.797.056","1.130.007.040","1.148.999.936","1.110.806.016","0,07K","1,31%"
"12/03/2024","1.130.007.040","1.135.000.960","1.147.000.064","1.099.888.000","0,09K","-0,44%"
"11/03/2024","1.135.000.064","1.089.993.984","1.138.877.952","1.075.000.064","0,10K","4,13%"
"10/03/2024","1.089.993.984","1.075.500.032","1.104.658.944","1.074.068.992","0,09K","1,35%"
"09/03/2024","1.075.500.032","1.067.582.976","1.078.217.984","1.064.001.024","0,04K","0,74%"
"08/03/2024","1.067.582.976","1.051.966.976","1.090.000.000","1.039.800.000","0,10K","1,48%"
"07/03/2024","1.051.969.024","1.041.920.000","1.062.000.000","1.036.131.008","0,07K","0,96%"
"06/03/2024","1.041.920.000","1.015.000.000","1.064.948.992","989.899.008","0,12K","2,65%"
"05/03/2024","1.015.001.024","1.080.999.936","1.087.000.064","959.443.968","0,23K","-6,21%"
"04/03/2024","1.082.221.952","988.265.984","1.082.221.952","981.001.024","0,18K","9,51%"
"03/03/2024","988.219.008","980.088.000","989.000.000","974.000.000","0,06K","0,83%"
"02/03/2024","980.089.024","984.048.000","986.451.968","975.100.032","0,04K","-0,40%"
"01/03/2024","984.049.984","965.342.976","990.000.000","955.614.016","0,07K","1,97%"
"29/02/2024","965.000.000","981.201.024","998.000.000","950.638.016","0,14K","-1,65%"
"28/02/2024","981.203.008","893.304.000","998.280.000","888.000.000","0,20K","9,84%"
"27/02/2024","893.304.000","848.099.968","898.000.000","845.425.984","0,11K","5,32%"
"26/02/2024","848.168.000","809.976.000","850.000.000","800.499.968","0,07K","4,75%"
