"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"28/03/2024","7.288,81","7.289,16","7.313,01","7.244,95","12,41B","-0,29%"
"27/03/2024","7.310,09","7.364,23","7.375,40","7.292,80","12,53B","-0,75%"
"26/03/2024","7.365,66","7.337,66","7.371,84","7.330,46","13,84B","-0,16%"
"25/03/2024","7.377,76","7.339,52","7.377,76","7.316,93","12,43B","0,38%"
"22/03/2024","7.350,15","7.327,51","7.350,15","7.318,44","12,37B","0,16%"
"21/03/2024","7.338,35","7.360,56","7.396,47","7.336,60","13,98B","0,10%"
"20/03/2024","7.331,13","7.303,93","7.343,46","7.295,35","16,97B","-0,08%"
"19/03/2024","7.336,75","7.320,54","7.361,53","7.314,18","13,76B","0,47%"
"18/03/2024","7.302,45","7.338,08","7.358,55","7.300,94","15,53B","-0,35%"
"15/03/2024","7.328,05","7.408,66","7.416,34","7.308,03","23,15B","-1,42%"
"14/03/2024","7.433,31","7.405,57","7.454,45","7.380,65","12,92B","0,16%"
"13/03/2024","7.421,21","7.422,30","7.441,62","7.392,01","13,52B","0,53%"
"08/03/2024","7.381,91","7.398,43","7.416,43","7.376,16","12,52B","0,11%"
"07/03/2024","7.373,96","7.338,73","7.386,87","7.334,31","19,33B","0,60%"
"06/03/2024","7.329,80","7.252,09","7.331,08","7.248,53","18,03B","1,14%"
"05/03/2024","7.247,46","7.296,53","7.305,45","7.238,34","15,28B","-0,40%"
"04/03/2024","7.276,75","7.318,83","7.328,39","7.259,78","16,81B","-0,48%"
"01/03/2024","7.311,91","7.318,67","7.331,32","7.269,89","13,46B","-0,06%"
"29/02/2024","7.316,11","7.326,80","7.337,92","7.289,34","23,01B","-0,17%"
"28/02/2024","7.328,64","7.292,07","7.328,74","7.289,26","22,04B","0,59%"
"27/02/2024","7.285,32","7.263,99","7.292,93","7.255,12","18,39B","0,02%"
"26/02/2024","7.283,82","7.277,64","7.295,14","7.252,28","14,71B","-0,15%"
"23/02/2024","7.295,10","7.326,53","7.340,19","7.262,10","14,63B","-0,61%"
"22/02/2024","7.339,64","7.334,95","7.365,76","7.321,52","15,45B","-0,13%"
"21/02/2024","7.349,02","7.345,79","7.370,88","7.286,67","15,26B","-0,05%"
"20/02/2024","7.352,60","7.320,72","7.354,11","7.309,50","13,00B","0,77%"
"19/02/2024","7.296,70","7.323,31","7.339,76","7.277,54","15,12B","-0,53%"
"16/02/2024","7.335,55","7.337,82","7.370,57","7.314,88","14,64B","0,44%"
"15/02/2024","7.303,28","7.337,63","7.365,68","7.298,48","18,44B","1,30%"
"13/02/2024","7.209,74","7.301,59","7.301,59","7.197,83","12,83B","-1,20%"
"12/02/2024","7.297,67","7.268,34","7.306,16","7.250,31","17,87B","0,86%"
"07/02/2024","7.235,15","7.264,98","7.285,13","7.225,45","13,81B","-0,17%"
"06/02/2024","7.247,41","7.230,15","7.268,13","7.212,14","13,80B","0,68%"
"05/02/2024","7.198,61","7.237,34","7.254,09","7.186,17","13,73B","-0,55%"
"02/02/2024","7.238,78","7.221,90","7.238,78","7.180,36","11,44B","0,51%"
"01/02/2024","7.201,70","7.221,85","7.248,53","7.191,69","15,74B","-0,09%"
"31/01/2024","7.207,94","7.213,31","7.247,52","7.192,64","17,03B","0,22%"
"30/01/2024","7.192,22","7.147,24","7.213,19","7.133,61","18,22B","0,49%"
"29/01/2024","7.157,18","7.147,72","7.177,70","7.115,04","16,04B","0,28%"
"26/01/2024","7.137,09","7.152,27","7.166,69","7.099,08","14,02B","-0,57%"
"25/01/2024","7.178,04","7.215,53","7.253,72","7.176,11","13,04B","-0,69%"
"24/01/2024","7.227,82","7.255,77","7.271,96","7.170,30","12,89B","-0,39%"
"23/01/2024","7.256,23","7.232,52","7.256,23","7.201,83","13,26B","0,11%"
"22/01/2024","7.247,93","7.233,17","7.247,93","7.194,95","14,17B","0,28%"
"19/01/2024","7.227,40","7.271,34","7.277,98","7.170,81","13,74B","-0,35%"
"18/01/2024","7.252,97","7.198,85","7.267,08","7.185,38","15,89B","0,73%"
"17/01/2024","7.200,64","7.248,01","7.252,46","7.162,48","20,21B","-0,58%"
"16/01/2024","7.242,79","7.231,64","7.268,18","7.210,03","13,03B","0,26%"
"15/01/2024","7.224,00","7.254,05","7.281,26","7.206,31","13,30B","-0,24%"
"12/01/2024","7.241,14","7.242,37","7.271,87","7.205,76","15,22B","0,29%"
"11/01/2024","7.219,96","7.253,46","7.277,50","7.219,96","19,05B","-0,10%"
"10/01/2024","7.227,30","7.187,58","7.259,60","7.152,88","15,27B","0,38%"
"09/01/2024","7.200,20","7.299,78","7.311,64","7.180,16","15,26B","-1,14%"
"08/01/2024","7.283,57","7.362,05","7.393,13","7.275,17","14,06B","-0,91%"
"05/01/2024","7.350,62","7.376,29","7.403,58","7.350,62","16,31B","-0,12%"
"04/01/2024","7.359,76","7.290,06","7.371,23","7.280,41","15,57B","1,11%"
"03/01/2024","7.279,09","7.316,11","7.321,88","7.275,87","15,95B","-0,61%"
"02/01/2024","7.323,59","7.268,40","7.323,59","7.245,57","12,14B","0,70%"
"29/12/2023","7.272,80","7.307,11","7.309,78","7.259,68","12,32B","-0,43%"
"28/12/2023","7.303,89","7.266,57","7.308,20","7.262,25","12,30B","0,80%"
"27/12/2023","7.245,92","7.256,16","7.293,52","7.239,66","12,50B","0,12%"
"26/12/2023","7.237,52","7.225,62","7.248,55","7.218,17","","0,00%"
"22/12/2023","7.237,52","7.225,62","7.248,55","7.218,18","11,13B","0,39%"
"21/12/2023","7.209,62","7.222,09","7.229,29","7.173,01","14,43B","-0,14%"
"20/12/2023","7.219,67","7.207,18","7.237,97","7.196,24","14,23B","0,44%"
"19/12/2023","7.187,85","7.116,55","7.187,85","7.112,82","15,54B","0,96%"
"18/12/2023","7.119,52","7.181,43","7.192,89","7.092,03","23,95B","-0,99%"
"15/12/2023","7.190,99","7.183,15","7.215,94","7.169,43","20,79B","0,21%"
"14/12/2023","7.176,02","7.134,04","7.191,16","7.115,45","22,86B","1,42%"
"13/12/2023","7.075,34","7.110,08","7.124,48","7.045,94","18,28B","-0,70%"
"12/12/2023","7.125,31","7.104,97","7.134,22","7.082,88","25,51B","0,52%"
"11/12/2023","7.088,78","7.139,28","7.153,11","7.045,17","49,01B","-0,99%"
"08/12/2023","7.159,60","7.134,62","7.201,63","7.123,04","27,00B","0,35%"
"07/12/2023","7.134,62","7.087,40","7.134,62","7.041,01","23,52B","0,67%"
"06/12/2023","7.087,40","7.100,85","7.140,16","7.085,81","27,28B","-0,19%"
"05/12/2023","7.100,85","7.093,06","7.117,58","7.047,63","31,96B","0,10%"
